id,timestamp,event_type,author,content,payload_json
19179,2026-05-01T12:14:27.628803Z,TM_HOLD_TRADE,QWEN_TM,HOLD_TRADE #999 [SHADOW] (not executed): thesis intact,"{""decision"": ""HOLD_TRADE"", ""reason"": ""thesis intact"", ""executed"": false, ""shadow"": true, ""latency_ms"": 6, ""trigger_type"": ""TM_HEARTBEAT"", ""ticket"": 999, ""new_sl"": null, ""new_tp"": null, ""plan_id"": null, ""current_sl"": 4480.0, ""current_tp"": 4520.0, ""unrealised_pips"": null, ""unrealised_usd"": 5.0}"
19180,2026-05-01T12:14:27.651204Z,TM_CLOSE_TRADE,QWEN_TM,CLOSE_TRADE #999 [SHADOW] (not executed): thesis broken,"{""decision"": ""CLOSE_TRADE"", ""reason"": ""thesis broken"", ""executed"": false, ""shadow"": true, ""latency_ms"": 3, ""trigger_type"": ""TM_CHECK"", ""ticket"": 999, ""new_sl"": null, ""new_tp"": null, ""plan_id"": null, ""current_sl"": 4480.0, ""current_tp"": 4520.0, ""unrealised_pips"": null, ""unrealised_usd"": 5.0}"
19181,2026-05-01T12:14:27.660332Z,TM_ADJUST_TRADE,QWEN_TM,ADJUST_TRADE #999 [SHADOW] (not executed): BE,"{""decision"": ""ADJUST_TRADE"", ""reason"": ""BE"", ""executed"": false, ""shadow"": true, ""latency_ms"": 4, ""trigger_type"": ""TM_CHECK"", ""ticket"": 999, ""new_sl"": 4490.0, ""new_tp"": 4530.0, ""plan_id"": null, ""current_sl"": 4480.0, ""current_tp"": 4520.0, ""unrealised_pips"": null, ""unrealised_usd"": 5.0}"
19182,2026-05-01T12:14:27.668345Z,TM_CLOSE_TRADE,QWEN_TM,CLOSE_TRADE #999: thesis broken,"{""decision"": ""CLOSE_TRADE"", ""reason"": ""thesis broken"", ""executed"": true, ""shadow"": false, ""latency_ms"": 3, ""trigger_type"": ""TM_CHECK"", ""ticket"": 999, ""new_sl"": null, ""new_tp"": null, ""plan_id"": null, ""current_sl"": 4480.0, ""current_tp"": 4520.0, ""unrealised_pips"": null, ""unrealised_usd"": 5.0}"
19183,2026-05-01T12:14:27.676522Z,TM_ADJUST_TRADE,QWEN_TM,ADJUST_TRADE #999: tighten,"{""decision"": ""ADJUST_TRADE"", ""reason"": ""tighten"", ""executed"": true, ""shadow"": false, ""latency_ms"": 2, ""trigger_type"": ""TM_CHECK"", ""ticket"": 999, ""new_sl"": 4490.0, ""new_tp"": 4530.0, ""plan_id"": null, ""current_sl"": 4480.0, ""current_tp"": 4520.0, ""unrealised_pips"": null, ""unrealised_usd"": 5.0}"
19184,2026-05-01T12:14:27.685656Z,TM_NO_OP,QWEN_TM,NO_OP #999: fine,"{""decision"": ""NO_OP"", ""reason"": ""fine"", ""executed"": false, ""shadow"": false, ""latency_ms"": 2, ""trigger_type"": ""TM_CHECK"", ""ticket"": 999, ""new_sl"": null, ""new_tp"": null, ""plan_id"": null, ""current_sl"": 4480.0, ""current_tp"": 4520.0, ""unrealised_pips"": null, ""unrealised_usd"": 5.0}"
19185,2026-05-01T12:14:27.695638Z,TM_HOLD_TRADE,QWEN_TM,HOLD_TRADE #999 (not executed): wait,"{""decision"": ""HOLD_TRADE"", ""reason"": ""wait"", ""executed"": false, ""shadow"": false, ""latency_ms"": 3, ""trigger_type"": ""TM_CHECK"", ""ticket"": 999, ""new_sl"": null, ""new_tp"": null, ""plan_id"": null, ""current_sl"": 4480.0, ""current_tp"": 4520.0, ""unrealised_pips"": null, ""unrealised_usd"": 5.0}"
19226,2026-05-01T14:29:25.989592Z,TM_HOLD_TRADE,QWEN_TM,HOLD_TRADE #999 [SHADOW] (not executed): thesis intact,"{""decision"": ""HOLD_TRADE"", ""reason"": ""thesis intact"", ""executed"": false, ""shadow"": true, ""latency_ms"": 6, ""trigger_type"": ""TM_HEARTBEAT"", ""ticket"": 999, ""new_sl"": null, ""new_tp"": null, ""plan_id"": null, ""current_sl"": 4480.0, ""current_tp"": 4520.0, ""unrealised_pips"": null, ""unrealised_usd"": 5.0}"
19227,2026-05-01T14:29:26.022690Z,TM_CLOSE_TRADE,QWEN_TM,CLOSE_TRADE #999 [SHADOW] (not executed): thesis broken,"{""decision"": ""CLOSE_TRADE"", ""reason"": ""thesis broken"", ""executed"": false, ""shadow"": true, ""latency_ms"": 3, ""trigger_type"": ""TM_CHECK"", ""ticket"": 999, ""new_sl"": null, ""new_tp"": null, ""plan_id"": null, ""current_sl"": 4480.0, ""current_tp"": 4520.0, ""unrealised_pips"": null, ""unrealised_usd"": 5.0}"
19228,2026-05-01T14:29:26.035689Z,TM_ADJUST_TRADE,QWEN_TM,ADJUST_TRADE #999 [SHADOW] (not executed): BE,"{""decision"": ""ADJUST_TRADE"", ""reason"": ""BE"", ""executed"": false, ""shadow"": true, ""latency_ms"": 6, ""trigger_type"": ""TM_CHECK"", ""ticket"": 999, ""new_sl"": 4490.0, ""new_tp"": 4530.0, ""plan_id"": null, ""current_sl"": 4480.0, ""current_tp"": 4520.0, ""unrealised_pips"": null, ""unrealised_usd"": 5.0}"
19229,2026-05-01T14:29:26.047203Z,TM_CLOSE_TRADE,QWEN_TM,CLOSE_TRADE #999: thesis broken,"{""decision"": ""CLOSE_TRADE"", ""reason"": ""thesis broken"", ""executed"": true, ""shadow"": false, ""latency_ms"": 4, ""trigger_type"": ""TM_CHECK"", ""ticket"": 999, ""new_sl"": null, ""new_tp"": null, ""plan_id"": null, ""current_sl"": 4480.0, ""current_tp"": 4520.0, ""unrealised_pips"": null, ""unrealised_usd"": 5.0}"
19230,2026-05-01T14:29:26.058703Z,TM_ADJUST_TRADE,QWEN_TM,ADJUST_TRADE #999: tighten,"{""decision"": ""ADJUST_TRADE"", ""reason"": ""tighten"", ""executed"": true, ""shadow"": false, ""latency_ms"": 6, ""trigger_type"": ""TM_CHECK"", ""ticket"": 999, ""new_sl"": 4490.0, ""new_tp"": 4530.0, ""plan_id"": null, ""current_sl"": 4480.0, ""current_tp"": 4520.0, ""unrealised_pips"": null, ""unrealised_usd"": 5.0}"
